locality_clean,parks_count,total_green_area_sqm,total_surveyed_sample,avg_population_2023_2025,historico_total_suicidios_localidad,hombres,mujeres
ANTONIO NARINO,55,290166.27027957,,77971.66666666667,12.0,7.0,5.0
TUNJUELITO,54,879463.146227706,,175683.0,32.0,22.0,10.0
RAFAEL URIBE URIBE,262,1112265.401647937,,375438.3333333333,43.0,30.0,13.0
LA CANDELARIA,10,19467.958168864,,16681.666666666668,5.0,3.0,2.0
BARRIOS UNIDOS,123,1742275.7461303754,,135704.66666666666,21.0,16.0,5.0
TEUSAQUILLO,134,2023925.0155239105,,154883.66666666666,37.0,27.0,10.0
PUENTE ARANDA,269,1076712.7771267076,,249637.66666666666,27.0,22.0,5.0
LOS MARTIRES,47,203260.530262919,,75384.0,10.0,6.0,4.0
SUMAPAZ,5,9259.313700259001,,3300.6666666666665,0.0,0.0,0.0
USAQUEN,472,3194473.1361666527,,585909.3333333334,94.0,75.0,19.0
CHAPINERO,160,795223.2907896208,,161623.66666666666,43.0,35.0,8.0
SANTA FE,88,3011836.6077729375,,112863.33333333333,34.0,30.0,4.0
SAN CRISTOBAL,271,1512721.7952515222,,394592.0,64.0,54.0,10.0
USME,286,1831573.5704862077,,395556.3333333333,69.0,53.0,16.0
CIUDAD BOLIVAR,447,2212690.569601483,,677348.6666666666,113.0,85.0,28.0
BOSA,251,1222724.0349809495,,760270.3333333334,107.0,78.0,29.0
KENNEDY,552,3792797.983816655,,1099031.3333333333,139.0,96.0,43.0
FONTIBON,280,1609458.939951517,,385404.0,41.0,30.0,11.0
ENGATIVA,552,6179346.495141838,,831015.3333333334,100.0,76.0,24.0
SUBA,997,5035771.1574145155,,1246852.0,127.0,88.0,39.0
