LOCALIDAD_DEL_HECHO,hombre,mujer,total_suicides_2023_2025
ANTONIO NARINO,7.0,5.0,12.0
TUNJUELITO,22.0,10.0,32.0
RAFAEL URIBE URIBE,30.0,13.0,43.0
LA CANDELARIA,3.0,2.0,5.0
BARRIOS UNIDOS,16.0,5.0,21.0
TEUSAQUILLO,27.0,10.0,37.0
PUENTE ARANDA,22.0,5.0,27.0
LOS MARTIRES,6.0,4.0,10.0
SUMAPAZ,0.0,0.0,0.0
USAQUEN,75.0,19.0,94.0
CHAPINERO,35.0,8.0,43.0
SANTA FE,30.0,4.0,34.0
SAN CRISTOBAL,54.0,10.0,64.0
USME,53.0,16.0,69.0
CIUDAD BOLIVAR,85.0,28.0,113.0
BOSA,78.0,29.0,107.0
KENNEDY,96.0,43.0,139.0
FONTIBON,30.0,11.0,41.0
ENGATIVA,76.0,24.0,100.0
SUBA,88.0,39.0,127.0
